year,state,abbr,electors,d_pv,r_pv,pop,area
1976,Delaware,DE,3,51.9690887,46.5876202,590166,1955
1976,District Of Columbia,DC,3,81.63122668,16.5095066,NA,NA
1976,Florida,FL,17,51.92610623,46.64243448,8667379,53997
1976,Georgia,GA,12,66.93829486,33.06170514,5132812,57919
1976,Hawaii,HI,4,50.59199934,48.06128369,904191,6423
1976,Idaho,ID,4,37.11854563,59.88026938,856983,82751
1976,Illinois,IL,26,48.10759027,50.07684354,11342853,55593
1976,Indiana,IN,13,45.70038579,53.32274647,5389088,35870
1976,Iowa,IA,8,48.45849654,49.46943765,2903082,55875
1976,Kansas,KS,7,44.93639368,52.48782423,2301001,81823
1976,Kentucky,KY,9,52.75424927,45.56874828,3529257,39732
1976,Louisiana,LA,10,51.77499622,45.98824315,3950605,43566
1976,Maine_full,ME_full,2,48.09407663,48.93077802,1088412,30865
1976,Maine_d1,ME_d1,1,48,49,1088412,30865
1976,Maine_d2,ME_d2,1,48,49,1088412,30865
1976,Maryland,MD,10,53.03541992,46.96458008,4150539,9775
1976,Massachusetts,MA,14,56.11157823,40.44170928,5743672,7838
1976,Michigan,MI,21,46.46507412,51.86075107,9129205,56539
1976,Minnesota,MN,10,54.89630146,42.02174333,3964680,79617
1976,Mississippi,MS,7,49.62701232,47.74216218,2429756,46914
1976,Missouri,MO,12,51.10498567,47.47353604,4839029,68898
1976,Montana,MT,4,45.40418697,52.83998613,757317,145556
1976,Nebraska_full,NE_full,5,38.44967194,59.20388826,1550911,76878
1976,Nebraska_d1,NE_d1,0,38.4496719,59.2038883,1550911,76878
1976,Nebraska_d2,NE_d2,0,38.4496719,59.2038883,1550911,76878
1976,Nebraska_d3,NE_d3,0,38.4496719,59.2038883,1550911,76878
1976,Nevada,NV,3,45.80980404,50.16594345,646975,109806
1976,New Hampshire,NH,4,43.4726921,54.74682519,845248,8969
1976,New Jersey,NJ,17,47.92391503,50.08134094,7339745,7419
1976,New Mexico,NM,4,48.28440433,50.74989798,1189295,121365
1976,New York,NY,41,48.65083286,42.37855381,17940541,47224
1976,North Carolina,NC,13,55.26918671,44.21940204,5607964,48718
1976,North Dakota,ND,3,45.77004319,51.69184818,645797,68994
