year,state,abbr,electors,d_pv,r_pv,margin,pl,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,jobs_pct_change,pce_pct_change,rdpi_pct_change,cpi_pct_change,ics_pct_change,sp500_avg,unemp_avg
1956,Illinois,IL,27,40.28858692,59.52087022,-19.2322833,-1.6653857,40.3655005,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,1,0,9530000,55593,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Indiana,IN,13,39.69944399,59.90108411,-20.20164012,-2.25452863,39.85866817,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,4458000,35870,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Iowa,IA,10,40.65062646,59.06433363,-18.41370717,-1.30334616,40.76682819,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,2703000,55875,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Kansas,KS,8,34.20714511,65.44099059,-31.23384548,-7.74682751,34.32793285,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,1,0,0,2119000,81823,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Kentucky,KY,10,45.21263422,54.29771162,-9.085077404,3.2586616,45.43510912,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,2898000,39732,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Louisiana,LA,10,39.50763023,53.28316687,-13.77553664,-2.44634239,42.57709974,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,3032000,43566,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Maine_d1,ME_d1,0,29.13456125,70.86543875,-41.7308775,-12.81941137,29.13456125,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,938000,30865,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Maine_d2,ME_d2,0,29.13456125,70.86543875,-41.7308775,-12.81941137,29.13456125,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,938000,30865,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Maine_full,ME_full,5,29.13456125,70.86543875,-41.7308775,-12.81941137,29.13456125,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,938000,30865,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
1956,Maryland,MD,9,39.96488447,60.03511553,-20.07023106,-1.98908815,39.96488447,41.95397262,57.37908457,-15.42511195,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,1,1,0,0,0,0,0,0,2811000,9775,2.066710273,NA,NA,-1.134929172,0.918320224,-0.770351072,-0.758510826
