year,state,abbr,electors,d_pv2p,r_pv2p,d_natl_share,r_natl_share,d_cand,r_cand,winner,state_winner,total_rep_electors,total_dem_electors,density,resident_dummy,birth_dummy
1972,Colorado,CO,8,35.59005963,64.40994037,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,23.18,0,0
1972,Connecticut,CT,8,40.65826368,59.34173632,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,633.37,0,0
1972,Delaware,DE,3,39.66772696,60.33227304,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,293.05,0,0
1972,Florida,FL,25,27.87855471,72.12144529,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,139.11,0,0
1972,Georgia,GA,13,24.7244081,75.2755919,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,83.04,0,0
1972,Hawaii,HI,4,37.52081221,62.47918779,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,128.96,0,0
1972,Idaho,ID,4,28.84479498,71.15520502,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,9.22,0,0
1972,Illinois,IL,22,40.697874,59.302126,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,202.4,0,0
1972,Indiana,IN,12,33.52228912,66.47771088,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,147.82,0,0
1972,Iowa,IA,7,41.2675179,58.7324821,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,51.19,0,0
1972,Kansas,KS,6,30.36594806,69.63405194,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,27.58,0,0
1972,Kentucky,KY,8,35.42928871,64.57071129,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,83.96,0,0
1972,Louisiana,LA,9,30.26840773,69.73159227,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,86.34,0,0
1972,Maine,ME,4,38.50547427,61.49452573,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,33.51,0,0
1972,Maryland,MD,10,37.88377678,62.11622322,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,416.73,0,0
1972,Massachusetts,MA,12,54.50912985,45.49087015,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",1,523,12,734.92,0,0
1972,Michigan,MI,18,42.65911873,57.34088127,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,159.69,0,0
1972,Minnesota,MN,10,47.17975556,52.82024444,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,48.6,0,0
1972,Mississippi,MS,7,20.0633954,79.9366046,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,49.18,0,0
1972,Missouri,MO,11,37.70566488,62.29433512,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,69.07,0,0
1972,Montana,MT,3,39.51599912,60.48400088,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,4.94,0,0
1972,Nebraska,NE,5,29.49752641,70.50247359,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,19.76,0,0
1972,Nevada,NV,4,36.31922362,63.68077638,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,4.98,0,0
1972,New Hampshire,NH,4,35.26634137,64.73365863,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,87.09,0,0
1972,New Jersey,NJ,15,37.39207311,62.60792689,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,988.68,0,0
1972,New Mexico,NM,5,37.45360907,62.54639093,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,8.89,0,0
1972,New York,NY,33,41.3093646,58.6906354,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,388.35,-1,0
1972,North Carolina,NC,14,29.3724399,70.6275601,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,108.81,0,0
1972,North Dakota,ND,3,36.57069579,63.42930421,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,9.15,0,0
1972,Ohio,OH,21,38.96525022,61.03474978,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,262.42,0,0
1972,Oklahoma,OK,8,24.56309657,75.43690343,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,38.71,0,0
1972,Oregon,OR,7,44.65993364,55.34006636,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,22.89,0,0
1972,Pennsylvania,PA,23,39.83070271,60.16929729,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,265.69,0,0
1972,Rhode Island,RI,4,46.89924535,53.10075465,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,942.74,0,0
1972,South Carolina,SC,8,28.34669019,71.65330981,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,90.31,0,0
1972,South Dakota,SD,3,45.67082543,54.32917457,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,8.92,1,1
1972,Tennessee,TN,11,30.52638324,69.47361676,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,99.34,0,0
1972,Texas,TX,32,33.4268315,66.5731685,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,44.9,0,0
1972,Utah,UT,5,28.06766431,71.93233569,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,13.82,0,0
1972,Vermont,VT,3,36.78658342,63.21341658,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,50.07,0,0
1972,Virginia,VA,13,30.74773361,69.25226639,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,121.84,0,0
1972,Washington,WA,11,40.43732021,59.56267979,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,51.78,0,0
1972,West Virginia,WV,5,36.38973818,63.61026182,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,74.63,0,0
1972,Wisconsin,WI,11,45.01957097,54.98042903,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,82.9,0,0
1972,Wyoming,WY,3,30.62932427,69.37067573,38.21099117,61.78900883,"McGovern, George","Nixon, Richard M.","Nixon, Richard M.",0,523,12,3.58,0,0
1976,Alabama,AL,9,56.66672398,43.33327602,51.13734917,48.86265083,"Carter, Jimmy","Ford, Gerald","Carter, Jimmy",1,246,289,73.6,0,0
1976,Alaska,AK,3,38.10817123,61.89182877,51.13734917,48.86265083,"Carter, Jimmy","Ford, Gerald","Carter, Jimmy",0,246,289,0.7,0,0
1976,Arizona,AZ,8,41.38669698,58.61330302,51.13734917,48.86265083,"Carter, Jimmy","Ford, Gerald","Carter, Jimmy",0,246,289,20.65,0,0
1976,Arkansas,AR,6,65.04885148,34.95114852,51.13734917,48.86265083,"Carter, Jimmy","Ford, Gerald","Carter, Jimmy",1,246,289,41.67,0,0
1976,California,CA,54,49.08217269,50.91782731,51.13734917,48.86265083,"Carter, Jimmy","Ford, Gerald","Carter, Jimmy",0,246,289,140.64,0,0
1976,Colorado,CO,8,44.09245617,55.90754383,51.13734917,48.86265083,"Carter, Jimmy","Ford, Gerald","Carter, Jimmy",0,246,289,25.38,0,0
1976,Connecticut,CT,8,47.38998329,52.61001671,51.13734917,48.86265083,"Carter, Jimmy","Ford, Gerald","Carter, Jimmy",0,246,289,636.4,0,0
1976,Delaware,DE,3,52.73013809,47.26986191,51.13734917,48.86265083,"Carter, Jimmy","Ford, Gerald","Carter, Jimmy",1,246,289,301.88,0,0
